#NAME	A1	A2	A3	A7	A8	A9
ASV_1	2596	2997	3611	476	322	504
ASV_2	1484	1471	1902	0	0	0
ASV_3	846	1073	1206	0	0	18
ASV_4	914	867	1071	0	0	29
ASV_5	949	605	868	74	47	42
ASV_6	935	710	881	0	0	0
ASV_7	0	0	0	1130	529	683
ASV_8	706	649	864	83	0	28
ASV_9	888	451	796	171	12	0
ASV_10	0	0	0	802	502	942
ASV_11	682	451	680	143	75	115
ASV_12	549	621	648	35	0	30
ASV_13	0	0	0	674	456	669
ASV_14	88	66	77	493	464	583
ASV_15	646	461	567	0	0	0
ASV_16	615	463	592	0	0	0
ASV_17	0	0	0	694	385	483
ASV_18	497	460	540	0	0	0
ASV_19	230	162	199	378	205	299
ASV_20	533	327	531	0	0	0
ASV_21	474	374	504	0	0	0
ASV_22	0	0	0	557	298	467
ASV_23	195	241	199	317	135	234
ASV_24	304	363	351	116	55	67
ASV_25	131	121	0	436	248	295
ASV_26	389	363	443	0	0	0
ASV_27	393	318	451	0	0	26
ASV_28	0	0	0	447	265	400
ASV_29	0	0	0	380	350	366
ASV_30	421	298	341	0	0	0
ASV_31	403	273	379	0	0	0
ASV_32	342	328	380	0	0	0
ASV_33	192	180	176	210	123	168
ASV_34	349	232	453	0	0	0
ASV_35	370	343	291	0	0	0
ASV_36	229	245	294	111	37	77
ASV_37	174	233	139	179	127	137
ASV_38	0	0	0	423	217	290
ASV_39	281	270	356	0	0	22
ASV_40	289	261	312	0	0	0
ASV_41	247	308	297	0	0	0
ASV_42	357	214	279	0	0	0
ASV_43	0	0	0	340	315	168
ASV_44	0	0	0	287	333	125
ASV_45	212	228	286	0	0	0
ASV_46	157	165	208	87	35	74
ASV_47	90	120	52	221	88	148
ASV_48	0	0	0	324	196	198
ASV_49	5	5	0	265	251	184
ASV_50	231	234	235	0	0	0
ASV_51	0	0	0	290	0	406
ASV_52	29	0	0	265	133	258
ASV_53	56	19	45	254	134	172
ASV_54	19	14	0	296	138	208
ASV_55	198	174	232	26	0	27
ASV_56	192	182	278	0	0	0
ASV_57	205	193	248	0	0	0
ASV_58	235	174	206	0	0	27
ASV_59	35	33	30	278	65	201
ASV_60	169	191	233	43	0	0
ASV_61	238	167	224	0	0	0
ASV_62	185	187	255	0	0	0
ASV_63	0	0	0	302	123	197
ASV_64	133	158	313	4	0	0
ASV_65	202	158	247	0	0	0
ASV_66	39	17	49	266	96	134
ASV_67	181	210	206	0	0	0
ASV_68	122	90	80	112	79	111
ASV_69	0	0	0	235	144	201
ASV_70	180	169	228	0	0	0
ASV_71	187	162	221	0	0	0
ASV_72	199	184	180	0	0	0
ASV_73	133	88	133	113	52	44
ASV_74	164	191	192	0	0	0
ASV_75	218	174	150	0	0	0
ASV_76	196	155	156	11	9	15
ASV_77	0	0	0	214	137	177
ASV_78	191	134	192	0	0	0
ASV_79	187	154	158	0	0	0
ASV_80	0	0	0	229	98	160
ASV_81	126	174	177	0	0	0
ASV_82	173	120	182	0	0	0
ASV_83	145	129	184	17	0	0
ASV_84	0	0	0	270	129	76
ASV_85	122	113	161	17	9	28
ASV_86	25	39	0	162	101	109
ASV_87	0	0	0	166	111	155
ASV_88	131	119	113	38	26	0
ASV_89	156	121	142	0	0	0
ASV_90	0	0	0	248	83	83
ASV_91	0	0	0	155	134	121
ASV_92	0	0	0	192	68	149
ASV_93	0	0	0	177	102	130
ASV_94	0	0	0	146	94	167
ASV_95	0	0	0	165	114	127
ASV_96	171	88	143	0	0	0
ASV_97	108	73	98	57	0	63
ASV_98	0	0	0	162	113	124
ASV_99	117	89	98	58	36	0
ASV_100	73	96	105	124	0	0
