Kingdom	Phylum	Class	Order	Family	Genus
ASV_1	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	Xanthobacteraceae	NA
ASV_2	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	Xanthobacteraceae	NA
ASV_3	Archaea	Crenarchaeota	Nitrososphaeria	Nitrososphaerales	Nitrososphaeraceae	NA
ASV_4	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	Xanthobacteraceae	NA
ASV_5	Archaea	Crenarchaeota	Nitrososphaeria	Nitrososphaerales	Nitrososphaeraceae	NA
ASV_6	Archaea	Crenarchaeota	Nitrososphaeria	Nitrososphaerales	Nitrososphaeraceae	NA
ASV_7	Bacteria	Firmicutes	Bacilli	Bacillales	NA	NA
ASV_8	Bacteria	Actinobacteriota	Actinobacteria	Corynebacteriales	Mycobacteriaceae	Mycobacterium
ASV_9	Bacteria	Chloroflexi	Ktedonobacteria	Ktedonobacterales	JG30-KF-AS9	NA
ASV_10	Bacteria	Proteobacteria	Gammaproteobacteria	Diplorickettsiales	Diplorickettsiaceae	Aquicella
ASV_11	Bacteria	Acidobacteriota	Acidobacteriae	Acidobacteriales	NA	NA
ASV_12	Bacteria	Actinobacteriota	Actinobacteria	Frankiales	Acidothermaceae	Acidothermus
ASV_13	Bacteria	Verrucomicrobiota	Verrucomicrobiae	Chthoniobacterales	Chthoniobacteraceae	Candidatus Udaeobacter
ASV_14	Bacteria	Firmicutes	Bacilli	Bacillales	Planococcaceae	NA
ASV_15	Bacteria	WPS-2	NA	NA	NA	NA
ASV_16	Bacteria	Actinobacteriota	Actinobacteria	Corynebacteriales	Mycobacteriaceae	Mycobacterium
ASV_17	Bacteria	Firmicutes	Bacilli	Bacillales	Bacillaceae	Fictibacillus
ASV_18	Bacteria	Proteobacteria	Gammaproteobacteria	Gammaproteobacteria Incertae Sedis	Unknown Family	Acidibacter
ASV_19	Bacteria	Firmicutes	Bacilli	Bacillales	Bacillaceae	Bacillus
