Kingdom	Phylum	Class	Order	Family	Genus	A1	A2	A3	A7	A8	A9
1	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	Xanthobacteraceae	NA	2596	2997	3611	476	322	504
2	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	Xanthobacteraceae	NA	1484	1471	1902	0	0	0
3	Archaea	Crenarchaeota	Nitrososphaeria	Nitrososphaerales	Nitrososphaeraceae	NA	846	1073	1206	0	0	18
4	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	Xanthobacteraceae	NA	914	867	1071	0	0	29
5	Archaea	Crenarchaeota	Nitrososphaeria	Nitrososphaerales	Nitrososphaeraceae	NA	949	605	868	74	47	42
6	Archaea	Crenarchaeota	Nitrososphaeria	Nitrososphaerales	Nitrososphaeraceae	NA	935	710	881	0	0	0
7	Bacteria	Firmicutes	Bacilli	Bacillales	NA	NA	0	0	0	1130	529	683
8	Bacteria	Actinobacteriota	Actinobacteria	Corynebacteriales	Mycobacteriaceae	Mycobacterium	706	649	864	83	0	28
9	Bacteria	Chloroflexi	Ktedonobacteria	Ktedonobacterales	JG30-KF-AS9	NA	888	451	796	171	12	0
10	Bacteria	Proteobacteria	Gammaproteobacteria	Diplorickettsiales	Diplorickettsiaceae	Aquicella	0	0	0	802	502	942
11	Bacteria	Acidobacteriota	Acidobacteriae	Acidobacteriales	NA	NA	682	451	680	143	75	115
12	Bacteria	Actinobacteriota	Actinobacteria	Frankiales	Acidothermaceae	Acidothermus	549	621	648	35	0	30
13	Bacteria	Verrucomicrobiota	Verrucomicrobiae	Chthoniobacterales	Chthoniobacteraceae	Candidatus Udaeobacter	0	0	0	674	456	669
14	Bacteria	Firmicutes	Bacilli	Bacillales	Planococcaceae	NA	88	66	77	493	464	583
15	Bacteria	WPS-2	NA	NA	NA	NA	646	461	567	0	0	0
16	Bacteria	Actinobacteriota	Actinobacteria	Corynebacteriales	Mycobacteriaceae	Mycobacterium	615	463	592	0	0	0
17	Bacteria	Firmicutes	Bacilli	Bacillales	Bacillaceae	Fictibacillus	0	0	0	694	385	483
18	Bacteria	Proteobacteria	Gammaproteobacteria	Gammaproteobacteria Incertae Sedis	Unknown Family	Acidibacter	497	460	540	0	0	0
19	Bacteria	Firmicutes	Bacilli	Bacillales	Bacillaceae	Bacillus	230	162	199	378	205	299
20	Bacteria	Acidobacteriota	Acidobacteriae	Subgroup 2	NA	NA	533	327	531	0	0	0
21	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	Xanthobacteraceae	NA	474	374	504	0	0	0
22	Bacteria	Firmicutes	Bacilli	Bacillales	Planococcaceae	Lysinibacillus	0	0	0	557	298	467
23	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	Xanthobacteraceae	Bradyrhizobium	195	241	199	317	135	234
24	Bacteria	Acidobacteriota	Acidobacteriae	Acidobacteriales	Koribacteraceae	Candidatus Koribacter	304	363	351	116	55	67
25	Bacteria	Verrucomicrobiota	Verrucomicrobiae	Chthoniobacterales	Chthoniobacteraceae	Candidatus Udaeobacter	131	121	0	436	248	295
